date,sector,old,new,delta
2026-09-02,Communication,,0.4522,
2026-09-02,ConsumerDisc,,0.1107,
2026-09-02,Defense,,0.05,
2026-09-02,Energy,,0.8819,
2026-09-02,Healthcare,,0.95,
2026-09-02,Homebuilders,,0.05,
2026-09-02,Industrials,,0.05,
2026-09-02,RealEstate,,0.05,
2026-09-02,Semiconductors,,0.05,
2026-09-02,Technology,,0.4384,
2026-09-02,Transportation,,0.05,
2026-09-03,Communication,0.4739,0.5476,0.0737
2026-09-03,ConsumerDisc,0.1323,0.1277,-0.0046
2026-09-03,Defense,0.05,0.05,0.0
2026-09-03,Energy,0.9057,0.8235,-0.0822
2026-09-03,Healthcare,0.9121,0.9402,0.0281
2026-09-03,Homebuilders,0.05,0.05,0.0
2026-09-03,Industrials,0.0647,0.0647,0.0
2026-09-03,RealEstate,0.0719,0.053,-0.0189
2026-09-03,Semiconductors,0.05,0.05,0.0
2026-09-03,Technology,0.5221,0.4987,-0.0234
2026-09-03,Transportation,0.05,0.05,0.0
2026-09-04,Communication,0.5678,0.5215,-0.0463
2026-09-04,ConsumerDisc,0.0967,0.0827,-0.014
2026-09-04,Defense,0.05,0.05,0.0
2026-09-04,Energy,0.8424,0.7593,-0.0831
2026-09-04,Healthcare,0.8405,0.8657,0.0252
2026-09-04,Homebuilders,0.0512,0.05,-0.0012
2026-09-04,Industrials,0.0988,0.082,-0.0168
2026-09-04,RealEstate,0.061,0.05,-0.011
2026-09-04,Semiconductors,0.077,0.077,0.0
2026-09-04,Technology,0.6551,0.6033,-0.0518
2026-09-04,Transportation,0.0527,0.0527,0.0
2026-09-08,Communication,0.4925,0.4762,-0.0163
2026-09-08,ConsumerDisc,0.05,0.0633,0.0133
2026-09-08,Defense,0.05,0.05,0.0
2026-09-08,Energy,0.7804,0.7679,-0.0125
2026-09-08,Healthcare,0.7113,0.7878,0.0765
2026-09-08,Homebuilders,0.05,0.05,0.0
2026-09-08,Industrials,0.1249,0.0946,-0.0303
2026-09-08,RealEstate,0.0583,0.05,-0.0083
2026-09-08,Semiconductors,0.2035,0.1516,-0.0519
2026-09-08,Technology,0.785,0.694,-0.091
2026-09-08,Transportation,0.05,0.05,0.0
2026-09-09,Communication,0.3814,0.4159,0.0345
2026-09-09,ConsumerDisc,0.05,0.05,0.0
2026-09-09,Defense,0.05,0.05,0.0
2026-09-09,Energy,0.8199,0.8078,-0.0121
2026-09-09,Healthcare,0.4905,0.6744,0.1839
2026-09-09,Homebuilders,0.05,0.05,0.0
2026-09-09,Industrials,0.152,0.0993,-0.0527
2026-09-09,RealEstate,0.05,0.05,0.0
2026-09-09,Semiconductors,0.6163,0.3026,-0.3137
2026-09-09,Technology,0.8121,0.698,-0.1141
2026-09-09,Transportation,0.05,0.05,0.0
2026-09-10,Communication,0.3818,0.4183,0.0365
2026-09-10,ConsumerDisc,0.05,0.05,0.0
2026-09-10,Defense,0.05,0.05,0.0
2026-09-10,Energy,0.8174,0.792,-0.0254
2026-09-10,Healthcare,0.2181,0.5052,0.2871
2026-09-10,Homebuilders,0.05,0.05,0.0
2026-09-10,Industrials,0.1179,0.0741,-0.0438
2026-09-10,RealEstate,0.05,0.05,0.0
2026-09-10,Semiconductors,0.7387,0.3225,-0.4162
2026-09-10,Technology,0.7694,0.6935,-0.0759
2026-09-10,Transportation,0.0535,0.0535,0.0
2026-09-11,Communication,0.4807,0.516,0.0353
2026-09-11,ConsumerDisc,0.0592,0.0592,0.0
2026-09-11,Defense,0.0506,0.05,-0.0006
2026-09-11,Energy,0.7847,0.8107,0.026
2026-09-11,Healthcare,0.1331,0.3264,0.1933
2026-09-11,Homebuilders,0.05,0.05,0.0
2026-09-11,Industrials,0.1262,0.0879,-0.0383
2026-09-11,RealEstate,0.05,0.05,0.0
2026-09-11,Semiconductors,0.7523,0.3857,-0.3666
2026-09-11,Technology,0.7652,0.7418,-0.0234
2026-09-11,Transportation,0.05,0.0614,0.0114
2026-09-14,Communication,0.6695,0.6233,-0.0462
2026-09-14,ConsumerDisc,0.0557,0.0511,-0.0046
2026-09-14,Defense,0.05,0.05,0.0
2026-09-14,Energy,0.8883,0.8223,-0.066
2026-09-14,Healthcare,0.0977,0.3917,0.294
2026-09-14,Homebuilders,0.05,0.05,0.0
2026-09-14,Industrials,0.1361,0.0688,-0.0673
2026-09-14,RealEstate,0.05,0.05,0.0
2026-09-14,Semiconductors,0.695,0.3347,-0.3603
2026-09-14,Technology,0.7238,0.6792,-0.0446
2026-09-14,Transportation,0.0511,0.0784,0.0273
2026-09-15,Communication,0.7306,0.6305,-0.1001
2026-09-15,ConsumerDisc,0.05,0.05,0.0
2026-09-15,Defense,0.05,0.05,0.0
2026-09-15,Energy,0.885,0.8554,-0.0296
2026-09-15,Healthcare,0.1657,0.4096,0.2439
2026-09-15,Homebuilders,0.05,0.05,0.0
2026-09-15,Industrials,0.0659,0.0536,-0.0123
2026-09-15,RealEstate,0.05,0.05,0.0
2026-09-15,Semiconductors,0.5834,0.3311,-0.2523
2026-09-15,Technology,0.631,0.5884,-0.0426
2026-09-15,Transportation,0.0541,0.0735,0.0194
2026-09-16,Communication,,0.6924,
2026-09-16,ConsumerDisc,,0.05,
2026-09-16,Defense,,0.063,
2026-09-16,Energy,,0.8018,
2026-09-16,Healthcare,,0.4311,
2026-09-16,Homebuilders,,0.0531,
2026-09-16,Industrials,,0.0828,
2026-09-16,RealEstate,,0.05,
2026-09-16,Semiconductors,,0.43,
2026-09-16,Technology,,0.6322,
2026-09-16,Transportation,,0.05,
