date,sector,posterior
2026-08-31,Communication,0.3919
2026-08-31,ConsumerDisc,0.1594
2026-08-31,Defense,0.05
2026-08-31,Energy,0.7403
2026-08-31,Healthcare,0.9327
2026-08-31,Homebuilders,0.05
2026-08-31,Industrials,0.05
2026-08-31,RealEstate,0.1624
2026-08-31,Semiconductors,0.05
2026-08-31,Technology,0.5719
2026-08-31,Transportation,0.05
2026-09-01,Communication,0.3749
2026-09-01,ConsumerDisc,0.1152
2026-09-01,Defense,0.05
2026-09-01,Energy,0.8571
2026-09-01,Healthcare,0.95
2026-09-01,Homebuilders,0.05
2026-09-01,Industrials,0.05
2026-09-01,RealEstate,0.0713
2026-09-01,Semiconductors,0.05
2026-09-01,Technology,0.4795
2026-09-01,Transportation,0.05
2026-09-03,Communication,0.4739
2026-09-03,ConsumerDisc,0.1323
2026-09-03,Defense,0.05
2026-09-03,Energy,0.9057
2026-09-03,Healthcare,0.9121
2026-09-03,Homebuilders,0.05
2026-09-03,Industrials,0.0647
2026-09-03,RealEstate,0.0719
2026-09-03,Semiconductors,0.05
2026-09-03,Technology,0.5221
2026-09-03,Transportation,0.05
2026-09-04,Communication,0.5678
2026-09-04,ConsumerDisc,0.0967
2026-09-04,Defense,0.05
2026-09-04,Energy,0.8424
2026-09-04,Healthcare,0.8405
2026-09-04,Homebuilders,0.0512
2026-09-04,Industrials,0.0988
2026-09-04,RealEstate,0.061
2026-09-04,Semiconductors,0.077
2026-09-04,Technology,0.6551
2026-09-04,Transportation,0.0527
2026-09-08,Communication,0.4925
2026-09-08,ConsumerDisc,0.05
2026-09-08,Defense,0.05
2026-09-08,Energy,0.7804
2026-09-08,Healthcare,0.7113
2026-09-08,Homebuilders,0.05
2026-09-08,Industrials,0.1249
2026-09-08,RealEstate,0.0583
2026-09-08,Semiconductors,0.2035
2026-09-08,Technology,0.785
2026-09-08,Transportation,0.05
2026-09-09,Communication,0.3814
2026-09-09,ConsumerDisc,0.05
2026-09-09,Defense,0.05
2026-09-09,Energy,0.8199
2026-09-09,Healthcare,0.4905
2026-09-09,Homebuilders,0.05
2026-09-09,Industrials,0.152
2026-09-09,RealEstate,0.05
2026-09-09,Semiconductors,0.6163
2026-09-09,Technology,0.8121
2026-09-09,Transportation,0.05
2026-09-10,Communication,0.3818
2026-09-10,ConsumerDisc,0.05
2026-09-10,Defense,0.05
2026-09-10,Energy,0.8174
2026-09-10,Healthcare,0.2181
2026-09-10,Homebuilders,0.05
2026-09-10,Industrials,0.1179
2026-09-10,RealEstate,0.05
2026-09-10,Semiconductors,0.7387
2026-09-10,Technology,0.7694
2026-09-10,Transportation,0.0535
2026-09-11,Communication,0.4807
2026-09-11,ConsumerDisc,0.0592
2026-09-11,Defense,0.0506
2026-09-11,Energy,0.7847
2026-09-11,Healthcare,0.1331
2026-09-11,Homebuilders,0.05
2026-09-11,Industrials,0.1262
2026-09-11,RealEstate,0.05
2026-09-11,Semiconductors,0.7523
2026-09-11,Technology,0.7652
2026-09-11,Transportation,0.05
2026-09-14,Communication,0.6695
2026-09-14,ConsumerDisc,0.0557
2026-09-14,Defense,0.05
2026-09-14,Energy,0.8883
2026-09-14,Healthcare,0.0977
2026-09-14,Homebuilders,0.05
2026-09-14,Industrials,0.1361
2026-09-14,RealEstate,0.05
2026-09-14,Semiconductors,0.695
2026-09-14,Technology,0.7238
2026-09-14,Transportation,0.0511
2026-09-15,Communication,0.7306
2026-09-15,ConsumerDisc,0.05
2026-09-15,Defense,0.05
2026-09-15,Energy,0.885
2026-09-15,Healthcare,0.1657
2026-09-15,Homebuilders,0.05
2026-09-15,Industrials,0.0659
2026-09-15,RealEstate,0.05
2026-09-15,Semiconductors,0.5834
2026-09-15,Technology,0.631
2026-09-15,Transportation,0.0541
