sector,posterior,updated_at
Technology,0.5888,2026-09-15T20:15:11.756765+00:00
Healthcare,0.1871,2026-09-15T20:15:11.756765+00:00
Energy,0.8914,2026-09-15T20:15:11.756765+00:00
Industrials,0.05,2026-09-15T20:15:11.756765+00:00
ConsumerDisc,0.05,2026-09-15T20:15:11.756765+00:00
Communication,0.7201,2026-09-15T20:15:11.756765+00:00
RealEstate,0.05,2026-09-15T20:15:11.756765+00:00
Semiconductors,0.5434,2026-09-15T20:15:11.756765+00:00
Defense,0.05,2026-09-15T20:15:11.756765+00:00
Homebuilders,0.05,2026-09-15T20:15:11.756765+00:00
Transportation,0.0504,2026-09-15T20:15:11.756765+00:00
